Ticker,Name,Market Cap,Revenue,Country,Sector
AAPL,Apple Inc.,3481738936320,385603010560,United States,Technology
MSFT,Microsoft Corporation,3100618260480,245122007040,United States,Technology
NVDA,NVIDIA Corporation,2928146120704,96307003392,United States,Technology
GOOGL,Alphabet Inc.,2021272190976,328284012544,United States,Communication Services
GOOG,Alphabet Inc.,2020401479680,328284012544,United States,Communication Services
AMZN,"Amazon.com, Inc.",1873464524800,604333998080,United States,Consumer Cyclical
META,"Meta Platforms, Inc.",1318820380672,149784002560,United States,Communication Services
BRK-B,Berkshire Hathaway Inc.,1026411921408,370108006400,United States,Financial Services
TSM,Taiwan Semiconductor Manufacturing Company Limited,890449887232,2438416039936,Taiwan,Technology
LLY,Eli Lilly and Company,864426983424,38922801152,United States,Healthcare
AVGO,Broadcom Inc.,757907521536,42618998784,United States,Technology
TSLA,"Tesla, Inc.",684004343808,95317999616,United States,Consumer Cyclical
WMT,Walmart Inc.,621202636800,665035014144,United States,Consumer Defensive
NVO,Novo Nordisk A/S,620403163136,258002993152,Denmark,Healthcare
UNH,UnitedHealth Group Incorporated,545001308160,385439006720,United States,Healthcare
V,Visa Inc.,537782878208,34917998592,United States,Financial Services
XOM,Exxon Mobil Corporation,523987353600,345134989312,United States,Energy
MA,Mastercard Incorporated,446526423040,26389999616,United States,Financial Services
PG,The Procter & Gamble Company,403069239296,84039000064,United States,Consumer Defensive
JNJ,Johnson & Johnson,399264808960,86575996928,United States,Healthcare
COST,Costco Wholesale Corporation,395623301120,253695000576,United States,Consumer Defensive
ORCL,Oracle Corporation,389375426560,52961001472,United States,Technology
LVMUY,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",376370462720,85589999616,France,Consumer Cyclical
HD,"The Home Depot, Inc.",366028455936,152089001984,United States,Consumer Cyclical
ASML,ASML Holding N.V.,359959920640,25442799616,Netherlands,Technology
ABBV,AbbVie Inc.,346750189568,54999998464,United States,Healthcare
BAC,Bank of America Corporation,316202876928,93155999744,United States,Financial Services
KO,The Coca-Cola Company,312336285696,46464999424,United States,Consumer Defensive
NFLX,"Netflix, Inc.",300994854912,36304244736,United States,Communication Services
MRK,"Merck & Co., Inc.",300248236032,62479998976,United States,Healthcare
AZN,AstraZeneca PLC,271669313536,49132998656,United Kingdom,Healthcare
CVX,Chevron Corporation,268492242944,195151003648,United States,Energy
TM,Toyota Motor Corporation,256484343808,46386372411392,Japan,Consumer Cyclical
SAP,SAP SE,256291717120,32543000576,Germany,Technology
ADBE,Adobe Inc.,254693376000,20429000704,United States,Technology
AMD,"Advanced Micro Devices, Inc.",240441376768,23275999232,United States,Technology
PEP,"PepsiCo, Inc.",237462798336,92054003712,United States,Consumer Defensive
TMO,Thermo Fisher Scientific Inc.,234954276864,42346000384,United States,Healthcare
TMUS,"T-Mobile US, Inc.",231862534144,79095996416,United States,Communication Services
LIN,Linde plc,228365811712,32824000512,United Kingdom,Basic Materials
SHEL,Shell plc,222932123648,302025015296,United Kingdom,Energy
ACN,Accenture plc,214192013312,64475844608,Ireland,Technology
MCD,McDonald's Corporation,207068233728,25757700096,United States,Consumer Cyclical
CSCO,"Cisco Systems, Inc.",203616059392,53802999808,United States,Technology
WFC,Wells Fargo & Company,199018446848,78234001408,United States,Financial Services
ABT,Abbott Laboratories,197078466560,40725000192,United States,Healthcare
TXN,Texas Instruments Incorporated,195702276096,16092000256,United States,Technology
QCOM,QUALCOMM Incorporated,195284205568,37348999168,United States,Technology
BABA,Alibaba Group Holding Limited,195224780800,950248013824,China,Consumer Cyclical
DHR,Danaher Corporation,194499182592,23567998976,United States,Healthcare
PM,Philip Morris International Inc.,191691292672,36449001472,United States,Consumer Defensive
GE,GE Aerospace,189342203904,69410996224,United States,Industrials
IBM,International Business Machines Corporation,186191659008,62363000832,United States,Technology
AXP,American Express Company,183877386240,58106998784,United States,Financial Services
AMGN,Amgen Inc.,179376537600,30933999616,United States,Healthcare
NOW,"ServiceNow, Inc.",176007725056,9955000320,United States,Technology
VZ,Verizon Communications Inc.,175873753088,134243000320,United States,Communication Services
ISRG,"Intuitive Surgical, Inc.",175058042880,7572499968,United States,Healthcare
CAT,Caterpillar Inc.,172672172032,66368000000,United States,Industrials
RY,Royal Bank of Canada,170883153920,56507998208,Canada,Financial Services
MS,Morgan Stanley,167626473472,56116998144,United States,Financial Services
NEE,"NextEra Energy, Inc.",165476237312,25849999360,United States,Utilities
PFE,Pfizer Inc.,164390961152,55166001152,United States,Healthcare
RTX,RTX Corporation,164071800832,72417001472,United States,Industrials
DIS,The Walt Disney Company,163912253440,90027999232,United States,Communication Services
HSBC,HSBC Holdings plc,163505209344,58554998784,United Kingdom,Financial Services
UL,Unilever PLC,161333575680,60293001216,United Kingdom,Consumer Defensive
GS,"The Goldman Sachs Group, Inc.",161136951296,48895000576,United States,Financial Services
SPGI,S&P Global Inc.,160644120576,13276000256,United States,Financial Services
TTE,TotalEnergies SE,159881969664,210243993600,France,Energy
UNP,Union Pacific Corporation,156009512960,24138000384,United States,Industrials
T,AT&T Inc.,142687780864,122197000192,United States,Communication Services
LOW,"Lowe's Companies, Inc.",140972556288,84023001088,United States,Consumer Cyclical
BHP,BHP Group Limited,140471238656,56027000832,Australia,Basic Materials
HON,Honeywell International Inc.,135073095680,37333999616,United States,Industrials
BLK,"BlackRock, Inc.",133583314944,18685999104,United States,Financial Services
TJX,"The TJX Companies, Inc.",132265304064,55623000064,United States,Consumer Cyclical
COP,ConocoPhillips,132138647552,58080002048,United States,Energy
NKE,"NIKE, Inc.",124926672896,51362000896,United States,Consumer Cyclical
MUFG,"Mitsubishi UFJ Financial Group, Inc.",122913529856,5534066933760,Japan,Financial Services
C,Citigroup Inc.,119504592896,69750996992,United States,Financial Services
SCHW,The Charles Schwab Corporation,119090036736,18397999104,United States,Financial Services
SONY,Sony Group Corporation,118960758784,13068765495296,Japan,Technology
PLD,"Prologis, Inc.",118349938688,8104100864,United States,Real Estate
MDT,Medtronic plc,113612701696,32576999424,United States,Healthcare
ADP,"Automatic Data Processing, Inc.",112514719744,19202600960,United States,Technology
MMC,"Marsh & McLennan Companies, Inc.",111879405568,23630000128,United States,Financial Services
UPS,"United Parcel Service, Inc.",110113103872,89501999104,United States,Industrials
SBUX,Starbucks Corporation,107166720000,36475899904,United States,Consumer Cyclical
BA,The Boeing Company,107062583296,73557000192,United States,Industrials
DE,Deere & Company,105538461696,55955001344,United States,Industrials
AMT,American Tower Corporation,104654389248,11339700224,United States,Real Estate
BMY,Bristol-Myers Squibb Company,101268627456,46508998656,United States,Healthcare
GILD,"Gilead Sciences, Inc.",98354208768,27804999680,United States,Healthcare
INTC,Intel Corporation,94243045376,55120998400,United States,Technology
BP,BP p.l.c.,93928947712,199760003072,United Kingdom,Energy
MO,"Altria Group, Inc.",91743453184,20295000064,United States,Consumer Defensive
ZTS,Zoetis Inc.,83130335232,8915000320,United States,Healthcare
CVS,CVS Health Corporation,72006778880,361854992384,United States,Healthcare
BDX,"Becton, Dickinson and Company",70066667520,19828000768,United States,Healthcare
CSX,CSX Corporation,66440617984,14634000384,United States,Industrials
EL,The Estée Lauder Companies Inc.,32880185344,15608000512,United States,Consumer Defensive
